CRN,latitude,longitude,year,month,hour,day,weather,road_cond,light_cond,severity
2024052956,42.130538,-79.808452,2024,6,,7,3.0,1,,0
2024052981,40.405804,-79.60478,2024,6,,2,3.0,1,,3
2024053050,40.973782,-75.236986,2024,6,,5,3.0,1,,0
2024053106,40.622049,-75.664291,2024,5,,5,7.0,9,,0
2024053137,41.20295,-79.997301,2024,6,,1,3.0,1,,0
2024053151,41.246602,-79.419398,2024,6,,5,3.0,1,,0
2024053158,40.402334,-77.866163,2024,6,,7,3.0,1,,0
2024053159,40.671176,-75.293125,2024,6,,7,3.0,1,,0
2024053166,42.056792,-79.904436,2024,6,,1,3.0,1,,0
2024053170,41.280495,-75.792108,2024,6,,2,3.0,1,,0
2024053171,40.547341,-77.353054,2024,6,,2,3.0,1,,0
2024053172,41.054909,-75.774184,2024,6,,2,3.0,1,,0
2024053173,41.044032,-76.70615,2024,6,,2,3.0,1,,3
2024053207,41.058811,-78.482314,2024,6,,7,3.0,1,,0
2024053212,41.661993,-75.514063,2024,6,,5,99.0,1,,0
2024053265,39.932325,-76.642657,2024,6,,2,3.0,1,,0
2024053302,41.030201,-76.011467,2024,6,,2,3.0,1,,0
2024053305,42.011525,-80.127661,2024,6,,3,3.0,1,,3
2024053311,40.015398,-78.584401,2024,6,,1,7.0,9,,0
2024053317,42.003349,-80.160424,2024,6,,3,3.0,1,,9
2024053325,40.497425,-78.054187,2024,6,,7,3.0,1,,4
2024053407,39.978148,-76.632003,2024,6,,7,3.0,1,,0
2024053424,40.027889,-76.300556,2024,6,,4,3.0,1,,3
2024053438,40.564223,-75.338813,2024,6,,7,3.0,1,,0
2024053480,39.924733,-77.317671,2024,5,,2,3.0,1,,0
2024053481,41.074853,-78.613473,2024,5,,6,3.0,1,,1
2024053482,39.978623,-78.938765,2024,5,,1,4.0,1,,0
2024053490,41.022724,-76.31506,2024,6,,7,3.0,1,,0
2024053491,40.271642,-77.031044,2024,6,,2,3.0,1,,0
2024053492,40.64436,-75.428469,2024,6,,2,3.0,1,,0
2024053503,40.172933,-77.262399,2024,6,,2,3.0,1,,0
2024053513,42.010465,-80.042799,2024,6,,5,3.0,1,,0
2024053515,40.931674,-75.921861,2024,6,,6,3.0,1,,0
2024053517,39.867298,-79.732303,2024,6,,6,7.0,9,,0
2024053520,41.606081,-76.085828,2024,6,,7,3.0,1,,0
2024053523,40.542414,-76.036907,2024,6,,1,3.0,1,,0
2024053524,41.896035,-79.655623,2024,6,,1,3.0,1,,0
2024053591,40.764806,-75.582167,2024,6,,2,3.0,1,,0
2024053656,41.245546,-79.443254,2024,5,,7,3.0,1,,0
2024053662,40.082806,-75.443152,2024,5,,6,3.0,1,,0
2024053664,40.564178,-75.186891,2024,6,,1,3.0,1,,8
2024053696,40.982004,-75.192811,2024,6,,7,3.0,1,,3
2024053697,40.809019,-80.312248,2024,6,,1,3.0,1,,0
2024053699,40.801533,-80.297428,2024,6,,1,3.0,1,,0
2024053823,41.594564,-76.010855,2024,6,,2,3.0,1,,0
2024053832,39.959065,-78.246532,2024,6,,3,4.0,1,,0
2024053834,40.215859,-78.769121,2024,6,,4,3.0,1,,0
2024053845,40.682214,-77.38874,2024,6,,1,3.0,1,,8
2024053846,41.724352,-80.204653,2024,6,,1,3.0,9,,0
2024053852,40.107429,-79.902801,2024,6,,3,3.0,1,,0
2024053854,39.987288,-79.153124,2024,6,,6,3.0,1,,0
2024053855,40.063286,-79.232732,2024,6,,7,3.0,1,,0
2024053860,41.728463,-76.774521,2024,6,,2,3.0,1,,3
2024053864,41.352573,-80.15985,2024,6,,2,3.0,1,,3
2024053865,41.732948,-80.203859,2024,6,,2,3.0,1,,0
2024053992,41.9682,-80.003737,2024,6,,7,3.0,1,,0
2024054163,40.41417,-75.476536,2024,6,,4,3.0,1,,8
2024054175,41.913173,-75.733191,2024,6,,2,99.0,1,,0
2024054249,39.942903,-76.694184,2024,6,,7,3.0,1,,0
2024054265,40.623055,-77.557054,2024,5,,1,3.0,1,,3
2024054292,40.053213,-78.643379,2024,6,,5,3.0,1,,0
2024054299,40.066571,-75.577388,2024,6,,2,3.0,1,,0
2024054307,40.637067,-76.917449,2024,6,,3,3.0,1,,0
2024054310,40.536454,-77.015893,2024,6,,4,3.0,1,,3
2024054363,40.259148,-80.14231,2024,6,,1,3.0,1,,0
2024054438,40.492242,-75.443619,2024,5,,6,3.0,1,,3
2024054446,40.192929,-75.521935,2024,6,,5,7.0,9,,0
2024054457,40.228889,-79.972849,2024,6,,6,3.0,1,,1
2024054490,41.109906,-75.565154,2024,6,,3,3.0,1,,0
2024054515,40.200598,-77.035878,2024,6,,1,3.0,1,,0
