latitude,longitude,month,hour,day,severity,weather_3.0,weather_4.0,weather_5.0,weather_6.0,weather_7.0,weather_10.0,weather_98.0,weather_99.0,road_cond_2,road_cond_3,road_cond_6,road_cond_7,road_cond_8,road_cond_9,road_cond_98,road_cond_99,season_spring,season_summer,season_winter
40.489917,-76.551123,1,,7,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.035696,-78.56906,1,,7,8,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.919012,-76.745214,1,,7,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.790653,-76.491973,1,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.083206,-77.049547,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.166936,-76.887348,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.205474,-75.793416,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.051474,-76.850194,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.190756,-79.570328,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.490651,-79.644048,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.266957,-80.161984,1,,6,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
40.587841,-79.177202,1,,7,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
40.942962,-75.851276,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.175532,-78.493307,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.650934,-80.202999,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.700383,-75.759809,1,,6,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39.733158,-77.182798,1,,6,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.060851,-76.333422,1,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.564257,-75.586414,1,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.408113,-79.721051,1,,3,4,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.261059,-74.857025,1,,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.305145,-76.623554,1,,6,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.115448,-75.422972,1,,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.21645,-80.456052,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.299087,-80.422988,1,,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39.881017,-75.774352,1,,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.189282,-79.989243,1,,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.163733,-79.005332,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.307786,-75.095303,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39.968806,-75.582262,1,,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.616317,-75.579389,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.226058,-76.658461,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.003185,-79.85966,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.863417,-80.079611,1,,5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.325556,-79.818097,1,,6,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.485643,-79.776488,1,,6,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
42.060583,-80.057176,1,,5,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
40.509773,-79.530155,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.788124,-75.685283,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.146323,-78.51052,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.455029,-79.425719,1,,6,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.9192,-76.743786,1,,6,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
40.816228,-77.832907,1,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.217692,-75.659813,1,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.298892,-80.423077,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.398748,-80.251143,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.321722,-75.776722,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.27137,-75.833918,1,,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.490241,-79.694022,1,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.003648,-75.232943,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.382864,-79.265533,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.109006,-76.246215,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.335332,-76.615476,1,,1,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.996526,-75.614078,1,,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39.786313,-76.695406,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.587213,-80.173815,1,,6,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
40.346313,-78.433859,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.946334,-78.289216,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.45915,-79.207285,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.883636,-78.660276,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.149441,-75.181369,1,,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
40.956918,-80.395408,1,,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.322445,-77.101164,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.764432,-79.924505,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.273421,-76.447775,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.565196,-77.181309,1,,2,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
40.652992,-79.127878,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.185874,-79.695803,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39.879278,-79.903083,1,,3,3,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.053768,-75.474973,1,,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
